seed_keyword,keyword,source,rank,sa_status,sa_error,relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,plAvgDepth,compIdx,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,naver_total_qc,mobile_ratio,pc_ratio,period,naver_index,datalab_status,datalab_error,keyword_length,adjusted_base,confidence
다이어트,다이어트,kizad,1,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,67.61035,ok,,4,0.0,B
다이어트,알룰로스,kizad,2,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EC%95%8C%EB%A3%B0%EB%A1%9C%EC%8A%A4&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,72.11737,ok,,4,0.0,B
다이어트,자이로토닉,kizad,3,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EC%9E%90%EC%9D%B4%EB%A1%9C%ED%86%A0%EB%8B%89&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,54.85598,ok,,5,0.0,B
다이어트,비만클리닉,kizad,4,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EB%B9%84%EB%A7%8C%ED%81%B4%EB%A6%AC%EB%8B%89&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,82.97188,ok,,5,0.0,B
다이어트,사업아이템,kizad,5,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EC%82%AC%EC%97%85%EC%95%84%EC%9D%B4%ED%85%9C&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,53.52001,ok,,5,0.0,B
다이어트,다이어트한의원,kizad,6,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%ED%95%9C%EC%9D%98%EC%9B%90&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,68.39135,ok,,7,0.0,B
다이어트,감비환,kizad,7,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EA%B0%90%EB%B9%84%ED%99%98&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,71.17159,ok,,3,0.0,B
다이어트,다이어트한약,kizad,8,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%ED%95%9C%EC%95%BD&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,58.2205,ok,,6,0.0,B
다이어트,한방다이어트,kizad,9,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%ED%95%9C%EB%B0%A9%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,64.94925,ok,,6,0.0,B
다이어트,줌바댄스,kizad,10,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EC%A4%8C%EB%B0%94%EB%8C%84%EC%8A%A4&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,76.14719,ok,,4,0.0,B
다이어트,댄스다이어트,kizad,11,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EB%8C%84%EC%8A%A4%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,,,error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",6,0.0,C
다이어트,다이어트음식,kizad,12,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%EC%9D%8C%EC%8B%9D&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,,,error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",6,0.0,C
다이어트,다이어트운동,kizad,13,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%EC%9A%B4%EB%8F%99&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,,,error,"HTTPSConnectionPool(host='openapi.naver.com', port=443): Read timed out. (read timeout=20)",6,0.0,C
다이어트,다이어트영어,kizad,14,error,"HTTPSConnectionPool(host='api.naver.com', port=443): Max retries exceeded with url: /keywordstool?hintKeywords=%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%EC%98%81%EC%96%B4&showDetail=1 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))",,,,,,,,,,0.0,,,2026-03-01,91.51823,ok,,6,0.0,B
다이어트,클렌즈다이어트,kizad,15,ok,,클렌즈다이어트,390.0,2020.0,10.0,,2.4,44.4,0.69,2.4,2410.0,0.8381742738589212,0.16182572614107885,2026-03-01,70.68914,ok,,7,2410.0,B
다이어트,다이어트방법,kizad,16,ok,,다이어트방법,840.0,4060.0,10.0,,1.0,37.3,0.14,1.13,4900.0,0.8285714285714286,0.17142857142857143,2026-03-01,61.86356,ok,,6,4900.0,B
다이어트,단기간다이어트,kizad,17,ok,,단기간다이어트,1110.0,5590.0,10.0,,4.1,88.5,0.41,1.85,6700.0,0.8343283582089552,0.16567164179104477,2026-03-01,47.99255,ok,,7,6700.0,B
다이어트,다이어트식단,kizad,18,ok,,다이어트식단,14300.0,52500.0,10.0,,30.3,410.7,0.24,0.86,66800.0,0.7859281437125748,0.21407185628742514,2026-03-01,78.34994,ok,,6,66800.0,B
다이어트,다이어트보조제순위,kizad,19,ok,,다이어트보조제순위,250.0,330.0,8.0,,0.4,4.5,0.16,1.4,580.0,0.5689655172413793,0.43103448275862066,2026-03-01,9.55867,ok,,9,580.0,B
다이어트,다이어트약,kizad,20,error,429 Client Error: Too Many Requests for url: https://api.searchad.naver.com/keywordstool?hintKeywords=%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8%EC%95%BD&showDetail=1,,,,,,,,,,0.0,,,2026-03-01,67.60653,ok,,5,0.0,B
